,,,,,,,,,,,,,
name,type,group,investment_method,capacity,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,country,technology,lat,lon
SK_Coal,producer,,none,358.0,1.0,1.0,0.0,0.0,SK,Coal,48.669,19.699
SK_Gas,producer,,none,802.0,1.0,1.0,0.0,0.0,SK,Gas,48.669,19.699
LT_E_ENS,producer,,none,2131.0,1.0,1.0,0.0,0.0,LT,E_ENS,55.1694,23.8813
LT_Wind_Onshore,producer,,none,2000.0,1.0,1.0,0.0,0.0,LT,Wind_Onshore,55.1694,23.8813
LT_Wind_Offshore,producer,,none,1400.0,1.0,1.0,0.0,0.0,LT,Wind_Offshore,55.1694,23.8813
LT_Solar,producer,,none,1250.0,1.0,1.0,0.0,0.0,LT,Solar,55.1694,23.8813
LT_Hydro,producer,,none,128.0,1.0,1.0,0.0,0.0,LT,Hydro,55.1694,23.8813
LT_Gas,producer,,none,403.0,1.0,1.0,0.0,0.0,LT,Gas,55.1694,23.8813
LV_E_ENS,producer,,none,1409.0,1.0,1.0,0.0,0.0,LV,E_ENS,56.8796,24.6032
LV_Wind_Onshore,producer,,none,396.0,1.0,1.0,0.0,0.0,LV,Wind_Onshore,56.8796,24.6032
LV_Wind_Offshore,producer,,none,500.0,1.0,1.0,0.0,0.0,LV,Wind_Offshore,56.8796,24.6032
LV_Solar,producer,,none,109.0,1.0,1.0,0.0,0.0,LV,Solar,56.8796,24.6032
LV_Hydro,producer,,none,1608.0,1.0,1.0,0.0,0.0,LV,Hydro,56.8796,24.6032
LV_Gas,producer,,none,1061.0,1.0,1.0,0.0,0.0,LV,Gas,56.8796,24.6032
EE_E_ENS,producer,,none,1551.0,1.0,1.0,0.0,0.0,EE,E_ENS,58.5953,25.0136
EE_Wind_Onshore,producer,,none,838.0,1.0,1.0,0.0,0.0,EE,Wind_Onshore,58.5953,25.0136
EE_Wind_Offshore,producer,,none,200.0,1.0,1.0,0.0,0.0,EE,Wind_Offshore,58.5953,25.0136
EE_Solar,producer,,none,415.0,1.0,1.0,0.0,0.0,EE,Solar,58.5953,25.0136
FI_E_ENS,producer,,none,16523.0,1.0,1.0,0.0,0.0,FI,E_ENS,61.9241,25.7482
FI_Wind_Onshore,producer,,none,12369.0,1.0,1.0,0.0,0.0,FI,Wind_Onshore,61.9241,25.7482
