,,,p.u.
profile_name,year,period,value
FI_Hydro_Reservoir_Min_Storage_Level,2050,40,0.3690777580000013
FI_Hydro_Reservoir_Min_Storage_Level,2050,41,0.3710669080000013
FI_Hydro_Reservoir_Min_Storage_Level,2050,42,0.37992766699999864
FI_Hydro_Reservoir_Min_Storage_Level,2050,43,0.38607594900000075
FI_Hydro_Reservoir_Min_Storage_Level,2050,44,0.3920433999999992
FI_Hydro_Reservoir_Min_Storage_Level,2050,45,0.3989150089999999
FI_Hydro_Reservoir_Min_Storage_Level,2050,46,0.4070524409999994
FI_Hydro_Reservoir_Min_Storage_Level,2050,47,0.4130198920000003
FI_Hydro_Reservoir_Min_Storage_Level,2050,48,0.4059674499999994
FI_Hydro_Reservoir_Min_Storage_Level,2050,49,0.39999999999999925
FI_Hydro_Reservoir_Min_Storage_Level,2050,50,0.38896925899999973
FI_Hydro_Reservoir_Min_Storage_Level,2050,51,0.37197106699999866
FI_Hydro_Reservoir_Min_Storage_Level,2050,52,0.35497287500000096
FI_Hydro_Reservoir_Min_Storage_Level,2050,53,0.34900542499999987
SE_Hydro_Reservoir_Min_Storage_Level,2050,1,0.2149878349999998
SE_Hydro_Reservoir_Min_Storage_Level,2050,2,0.2112449090000006
SE_Hydro_Reservoir_Min_Storage_Level,2050,3,0.207372952
SE_Hydro_Reservoir_Min_Storage_Level,2050,4,0.2166677879999998
SE_Hydro_Reservoir_Min_Storage_Level,2050,5,0.20126594899999997
SE_Hydro_Reservoir_Min_Storage_Level,2050,6,0.16627740799999938
SE_Hydro_Reservoir_Min_Storage_Level,2050,7,0.1404843699999996
SE_Hydro_Reservoir_Min_Storage_Level,2050,8,0.10291960600000027
SE_Hydro_Reservoir_Min_Storage_Level,2050,9,0.09287345999999988
SE_Hydro_Reservoir_Min_Storage_Level,2050,10,0.08062235100000018
SE_Hydro_Reservoir_Min_Storage_Level,2050,11,0.0634633789999999
SE_Hydro_Reservoir_Min_Storage_Level,2050,12,0.05420297500000005
SE_Hydro_Reservoir_Min_Storage_Level,2050,13,0.050198014000000034
SE_Hydro_Reservoir_Min_Storage_Level,2050,14,0.04088542399999989
SE_Hydro_Reservoir_Min_Storage_Level,2050,15,0.029148157999999945
SE_Hydro_Reservoir_Min_Storage_Level,2050,16,0.026169680000000056
SE_Hydro_Reservoir_Min_Storage_Level,2050,17,0.08381618399999982
SE_Hydro_Reservoir_Min_Storage_Level,2050,18,0.0988279599999999
SE_Hydro_Reservoir_Min_Storage_Level,2050,19,0.1487823010000004
SE_Hydro_Reservoir_Min_Storage_Level,2050,20,0.18155932599999944
SE_Hydro_Reservoir_Min_Storage_Level,2050,21,0.23532112499999927
SE_Hydro_Reservoir_Min_Storage_Level,2050,22,0.28137699199999905
SE_Hydro_Reservoir_Min_Storage_Level,2050,23,0.30686927
SE_Hydro_Reservoir_Min_Storage_Level,2050,24,0.34557799600000105
SE_Hydro_Reservoir_Min_Storage_Level,2050,25,0.4008130750000008
SE_Hydro_Reservoir_Min_Storage_Level,2050,26,0.4190995530000004
SE_Hydro_Reservoir_Min_Storage_Level,2050,27,0.4807171549999992
SE_Hydro_Reservoir_Min_Storage_Level,2050,28,0.5133315040000018
SE_Hydro_Reservoir_Min_Storage_Level,2050,29,0.5343431430000007
SE_Hydro_Reservoir_Min_Storage_Level,2050,30,0.5467901189999984
SE_Hydro_Reservoir_Min_Storage_Level,2050,31,0.532730845000002
SE_Hydro_Reservoir_Min_Storage_Level,2050,32,0.5442520309999993
SE_Hydro_Reservoir_Min_Storage_Level,2050,33,0.5409939120000007
SE_Hydro_Reservoir_Min_Storage_Level,2050,34,0.5070954119999985
SE_Hydro_Reservoir_Min_Storage_Level,2050,35,0.49880894899999895
SE_Hydro_Reservoir_Min_Storage_Level,2050,36,0.4801815069999987
SE_Hydro_Reservoir_Min_Storage_Level,2050,37,0.4512408970000004
SE_Hydro_Reservoir_Min_Storage_Level,2050,38,0.4099136950000001
SE_Hydro_Reservoir_Min_Storage_Level,2050,39,0.39553879299999994
SE_Hydro_Reservoir_Min_Storage_Level,2050,40,0.40553178500000026
SE_Hydro_Reservoir_Min_Storage_Level,2050,41,0.4024887679999991
SE_Hydro_Reservoir_Min_Storage_Level,2050,42,0.385032045000001
SE_Hydro_Reservoir_Min_Storage_Level,2050,43,0.36915024700000026
SE_Hydro_Reservoir_Min_Storage_Level,2050,44,0.3805188799999985
SE_Hydro_Reservoir_Min_Storage_Level,2050,45,0.384635332999999
SE_Hydro_Reservoir_Min_Storage_Level,2050,46,0.36711364800000007
SE_Hydro_Reservoir_Min_Storage_Level,2050,47,0.36146366300000066
SE_Hydro_Reservoir_Min_Storage_Level,2050,48,0.3570717549999998
SE_Hydro_Reservoir_Min_Storage_Level,2050,49,0.33882864600000123
SE_Hydro_Reservoir_Min_Storage_Level,2050,50,0.3032348670000004
SE_Hydro_Reservoir_Min_Storage_Level,2050,51,0.2948961470000007
SE_Hydro_Reservoir_Min_Storage_Level,2050,52,0.2695097399999991
